Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,max_depth,min_samples_leaf,min_samples_split,n_estimators,random_state,accuracy
2024-10-21 18:35:58,4.0s,4ca682eead3c4b8a8eae93b892ec3d89,bemused-colt-541,LOCAL,model_generation.py,root,FINISHED,8,5,8,21,836,0.9583333333333334
2024-10-21 18:24:02,5.0s,440ac2b7a5cd46e0b6414682298381e3,big-mink-14,LOCAL,model_generation.py,root,FAILED,20,4,4,21,119,0.9333333333333333
2024-10-21 18:23:31,3.9s,768d1697021649ef93ddc44c7ebddaa9,welcoming-skink-994,LOCAL,model_generation.py,root,FAILED,7,3,8,18,134,0.9333333333333333
2024-10-21 18:23:10,3.8s,e2396507581b4feb9b8888540eeb3adf,polite-ant-553,LOCAL,model_generation.py,root,FAILED,15,2,6,74,765,0.9333333333333333
2024-10-21 18:23:01,3.8s,fc2cdea8aa25436d9cea32d3e0455ca8,salty-stag-187,LOCAL,model_generation.py,root,FAILED,1,5,5,68,673,0.575
2024-10-21 18:22:09,3.5s,bfd1143ecd564fac8c9b5d41505d74bc,placid-finch-384,LOCAL,model_generation.py,root,FAILED,13,4,9,73,630,0.9333333333333333
2024-10-21 18:21:37,3.4s,e9b4d83f79ec4167b6086c8084073b9f,dashing-flea-503,LOCAL,model_generation.py,root,FAILED,2,2,4,46,105,0.9333333333333333
2024-10-21 18:21:18,3.4s,0a5a195e2407413694aab4de947af63a,nosy-trout-911,LOCAL,model_generation.py,root,FAILED,5,5,3,20,547,0.95
2024-10-21 18:21:10,3.3s,faf7fbf5d7e4466cbf2502e09637cd1b,smiling-sheep-558,LOCAL,model_generation.py,root,FAILED,5,2,9,31,507,0.9416666666666667
2024-10-21 18:09:09,3.7s,406101bf61ac41cf802a6463311824e5,treasured-colt-464,LOCAL,model_generation.py,root,FINISHED,18,3,10,1,819,0.825
2024-10-21 18:08:18,3.5s,edb79d9597d54db3a9a44fa9259f56de,whimsical-grub-789,LOCAL,model_generation.py,root,FAILED,13,2,3,25,948,0.9333333333333333
2024-10-21 18:07:47,3.5s,a353878c52f945b58ce3cb346ad94106,zealous-trout-739,LOCAL,model_generation.py,root,FAILED,4,5,2,83,562,0.9333333333333333
2024-10-21 18:07:23,3.8s,90c50fc8aa294354bef7a958f7fc2044,treasured-donkey-717,LOCAL,model_generation.py,root,FAILED,4,3,6,21,296,0.9333333333333333
2024-10-21 18:07:16,3.5s,1a94252f14714667893b9523a98f8191,beautiful-pug-744,LOCAL,model_generation.py,root,FAILED,19,1,5,35,663,0.95
2024-10-21 18:06:37,3.9s,20a2b1dd03cd42a48b38b517c30cb992,abundant-zebra-866,LOCAL,model_generation.py,root,FAILED,5,1,5,78,40,0.9416666666666667
2024-10-21 18:06:06,3.6s,a9704d90b09848c989cf361e459c0854,blushing-hawk-290,LOCAL,model_generation.py,root,FAILED,7,3,9,80,307,0.9333333333333333
2024-10-21 18:05:46,3.4s,30cfb9bcaa9c45fbb67defc84e02cddd,intrigued-sheep-949,LOCAL,model_generation.py,root,FAILED,3,3,9,4,311,0.9583333333333334
2024-10-21 18:05:38,3.7s,5f9df6e797004f18af00342906727fc0,big-finch-115,LOCAL,model_generation.py,root,FAILED,6,2,3,66,356,0.9333333333333333
2024-10-21 16:08:03,5.5s,13ea8084a41c4217a1cd5427d9a336a2,fearless-foal-874,LOCAL,model_generation.py,root,FINISHED,1,4,2,99,347,0.775
2024-10-21 15:53:48,6.1s,b1e7579e84eb46c1b3bf61a8453fea15,efficient-perch-316,LOCAL,model_generation.py,root,FAILED,20,5,4,41,620,0.9333333333333333
2024-10-21 15:53:07,5.6s,c07ff434e652437b89d66f726afd27b2,nosy-bat-779,LOCAL,model_generation.py,root,FAILED,8,4,9,6,22,0.9583333333333334
2024-10-21 15:52:40,5.7s,a3840e2ad71a477ea4034c3e1d05e188,amazing-gnat-405,LOCAL,model_generation.py,root,FAILED,15,1,10,99,896,0.9416666666666667
2024-10-21 15:52:29,5.5s,d606c56a143c495f94066a39b847a37d,bittersweet-ape-472,LOCAL,model_generation.py,root,FAILED,7,1,3,10,366,0.9333333333333333
2024-10-21 15:46:53,5.9s,1ab64ce4e20a44a983971db56a9e5f27,shivering-slug-936,LOCAL,model_generation.py,root,FAILED,16,5,6,78,485,0.9333333333333333
2024-10-21 15:46:12,6.6s,37572b2aa75e4c0d881dc5dd45128ddf,ambitious-quail-518,LOCAL,model_generation.py,root,FAILED,10,5,10,66,280,0.9333333333333333
2024-10-21 15:45:43,6.8s,fe65d80ac8f349c2add16d23103e89fd,fortunate-bat-856,LOCAL,model_generation.py,root,FAILED,20,2,8,97,343,0.9416666666666667
2024-10-21 15:45:32,5.0s,5169127d83a04854939c431e1a1da023,lyrical-kite-280,LOCAL,model_generation.py,root,FAILED,11,2,7,58,794,0.9333333333333333
2024-10-21 15:27:41,6.2s,7f68ad30577e4fa48cf714707329690a,treasured-finch-97,LOCAL,model_generation.py,root,FINISHED,4,3,3,69,412,0.9333333333333333
